Ref,Val,Package,PosX,PosY,Rot,Side
"C1","","C_Disc_D3.0mm_W1.6mm_P2.50mm",155.750000,-97.000000,180.000000,top
"J1","","PinSocket_1x09_P2.54mm_Vertical",127.500000,-96.300000,0.000000,top
"J2","","PinSocket_1x09_P2.54mm_Vertical",145.500000,-96.300000,0.000000,top
"J3","","KF141R_3P",168.460000,-101.540000,90.000000,top
"J4","","KF141R_3P",168.460000,-116.500000,90.000000,top
"J5","","PDTrigger_Direct",109.000000,-96.500000,90.000000,top
"R1","","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",162.460000,-101.540000,90.000000,top
"R2","","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",162.460000,-111.460000,-90.000000,top
"U1","","DIP-14_W7.62mm",150.655000,-100.380000,0.000000,top
"U2","","BuckModule_5V_Direct",112.500000,-111.500000,90.000000,top
